Lot Id,Item Id,Canonical Name,Item Type,Catalogue No,Barcode Gtin,Unit Of Measure,Location Id,Location Name,Batch/Lot,Serial Number,Expiry Date,Recall Status,Sterility Status,Qty On Hand,Qty Reserved,Unit Cost GBP,Last Counted At,Source System
LOT-CONS-ARTHROSCOPY_FLUID_3L-03,INV-CONS-ARTHROSCOPY_FLUID_3L,Arthroscopy Fluid 3L,consumable,CON-266520,05070805310033,bottle,LOC-STOCK-03, Day Surgery Store ,B133796,N/A,18/06/2026,clear,sterile,71,3,GBP 25.15,06/07/2026 00:00,ScanTrack Theatre Inventory
LOT-CONS-ARTHROSCOPY_FLUID_3L-04,INV-CONS-ARTHROSCOPY_FLUID_3L,Arthroscopy Fluid 3L,consumable, CON-266520 , 05070805310033 ,bottle,LOC-STOCK-02,Orthopaedic Implant Store, B950083 ,,27/06/2028,quarantined,sterile,34, 5 ,GBP 55.96,27/06/2026 00:00, ERP Materials Management 
LOT-CONS-BETADINE_PREP_SOLUTION-01,INV-CONS-BETADINE_PREP_SOLUTION,Betadine Prep Solution,consumable,CON-757766,05092327193745,each,LOC-STOCK-02,Orthopaedic Implant Store,B944565,,15/07/2026,clear, sterile ,60, 0 ,GBP 54.26,21/06/2026 00:00,ScanTrack Theatre Inventory
LOT-CONS-BETADINE_PREP_SOLUTION-02,INV-CONS-BETADINE_PREP_SOLUTION,Betadine Prep Solution,consumable, CON-757766 , 05092327193745 ,each,LOC-STOCK-03,Day Surgery Store, B403387 ,N/A,04/01/2027,clear,sterile, 90 , 4 ,GBP 25.58,22/06/2026 00:00,ERP Materials Management
LOT-CONS-BETADINE_PREP_SOLUTION-03,INV-CONS-BETADINE_PREP_SOLUTION,Betadine Prep Solution,consumable, CON-757766 ,05092327193745,each,LOC-STOCK-01,Main Theatre Sterile Store,B390794,N/A,27/06/2028,clear,sterile,113,5,GBP 12.27,04/07/2026 00:00, Manual Theatre Stocktake 
LOT-CONS-BETADINE_PREP_SOLUTION-04,INV-CONS-BETADINE_PREP_SOLUTION,Betadine Prep Solution,consumable,CON-757766,05092327193745, each ,LOC-STOCK-04,Trauma Emergency Cupboard,B613234,,15/07/2026,clear,sterile,71,1,GBP 54.96,30/06/2026 00:00, ERP Materials Management 
LOT-CONS-BLADDER_SYRINGE-01,INV-CONS-BLADDER_SYRINGE,Bladder Syringe,consumable,CON-450442,05024190496631,pack,LOC-STOCK-04,Trauma Emergency Cupboard,B640659,,06/10/2026,clear,sterile, 31 ,5,GBP 26.61,27/06/2026 00:00,ScanTrack Theatre Inventory
LOT-CONS-BLADDER_SYRINGE-02,INV-CONS-BLADDER_SYRINGE,Bladder Syringe, consumable , CON-450442 , 05024190496631 ,pack,LOC-STOCK-01,Main Theatre Sterile Store,B866437,,06/10/2026,clear,sterile,8,3,GBP 60.40,27/06/2026 00:00,Manual Theatre Stocktake
LOT-CONS-BLADDER_SYRINGE-03,INV-CONS-BLADDER_SYRINGE,Bladder Syringe,consumable,CON-450442,05024190496631,pack,LOC-STOCK-04,Trauma Emergency Cupboard,B964915,,27/06/2028,clear, sterile ,63, 1 ,GBP 47.12,28/06/2026 00:00,ScanTrack Theatre Inventory
LOT-CONS-BLADDER_SYRINGE-04,INV-CONS-BLADDER_SYRINGE,Bladder Syringe, consumable ,CON-450442,05024190496631,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B993829,,07/08/2026, clear , sterile ,41, 3 ,GBP 74.94,17/06/2026 00:00,Manual Theatre Stocktake
LOT-CONS-BONE_CEMENT_MIXING_BOWL_KIT-01,INV-CONS-BONE_CEMENT_MIXING_BOWL_KIT,Bone Cement Mixing Bowl Kit,consumable,CON-546755, 05014919058651 ,pack,LOC-STOCK-01,Main Theatre Sterile Store,B230272,,18/06/2026, clear ,sterile,125,1,GBP 42.06,08/07/2026 00:00,ScanTrack Theatre Inventory
LOT-CONS-BONE_WAX-01,INV-CONS-BONE_WAX,Bone Wax,consumable,CON-782658,05067165726284, pack ,LOC-STOCK-02,Orthopaedic Implant Store,B387330,N/A,08/07/2027,clear,sterile,85,0,GBP 62.27,30/06/2026 00:00, Manual Theatre Stocktake 
LOT-CONS-BONE_WAX-02,INV-CONS-BONE_WAX,Bone Wax,consumable, CON-782658 ,05067165726284,pack,LOC-STOCK-01, Main Theatre Sterile Store ,B515594,,07/08/2026, clear ,sterile,50, 5 ,GBP 29.20,01/07/2026 00:00, ScanTrack Theatre Inventory 
LOT-CONS-CHLORHEXIDINE_2_APPLICATOR-01,INV-CONS-CHLORHEXIDINE_2_APPLICATOR,Chlorhexidine 2% Applicator,consumable,CON-165563,05069453147379,pack,LOC-STOCK-04, Trauma Emergency Cupboard ,B181724,N/A,08/07/2027,clear, sterile , 62 , 1 ,GBP 56.50,22/06/2026 00:00,ERP Materials Management
LOT-CONS-DIATHERMY_PENCIL-01,INV-CONS-DIATHERMY_PENCIL, Diathermy Pencil , consumable ,CON-939628,05007527354549,pack,LOC-STOCK-01,Main Theatre Sterile Store,B542828,N/A,18/06/2026,clear, sterile ,95,5,GBP 12.77,06/07/2026 00:00,Manual Theatre Stocktake
LOT-CONS-DIATHERMY_PENCIL-02,INV-CONS-DIATHERMY_PENCIL,Diathermy Pencil,consumable,CON-939628,05007527354549,pack,LOC-STOCK-01,Main Theatre Sterile Store, B428572 ,N/A,06/10/2026,clear,sterile,34, 2 ,GBP 83.72,04/07/2026 00:00,ScanTrack Theatre Inventory
LOT-CONS-DIATHERMY_PENCIL-03,INV-CONS-DIATHERMY_PENCIL, Diathermy Pencil ,consumable,CON-939628,05007527354549,pack,LOC-STOCK-02,Orthopaedic Implant Store,B171734,,27/06/2028, clear , sterile ,42,4,GBP 53.62,19/06/2026 00:00,ERP Materials Management
LOT-CONS-DIATHERMY_PENCIL-04,INV-CONS-DIATHERMY_PENCIL,Diathermy Pencil, consumable ,CON-939628, 05007527354549 ,pack,LOC-STOCK-02,Orthopaedic Implant Store,B531709,,15/07/2026, clear ,sterile,62, 4 ,GBP 65.30,02/07/2026 00:00,Manual Theatre Stocktake
LOT-CONS-DIATHERMY_TIP-01,INV-CONS-DIATHERMY_TIP, Diathermy Tip ,consumable,CON-473109,05083136783777, each ,LOC-STOCK-04,Trauma Emergency Cupboard,B468611,N/A,15/07/2026, clear ,sterile,158,3,GBP 30.05,04/07/2026 00:00,Manual Theatre Stocktake
LOT-CONS-ESCHMARK_BANDAGE-01,INV-CONS-ESCHMARK_BANDAGE, Eschmark Bandage , consumable ,CON-586060,05043634957885, box ,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B729153,N/A,08/07/2027,clear,sterile,149,5,GBP 57.82,08/07/2026 00:00,ERP Materials Management
LOT-CONS-ESCHMARK_BANDAGE-02,INV-CONS-ESCHMARK_BANDAGE,Eschmark Bandage,consumable,CON-586060,05043634957885,box,LOC-STOCK-02,Orthopaedic Implant Store, B884170 ,,07/08/2026,clear,sterile,138,3,GBP 28.25,07/07/2026 00:00,Manual Theatre Stocktake
LOT-CONS-ESCHMARK_BANDAGE-03,INV-CONS-ESCHMARK_BANDAGE,Eschmark Bandage,consumable,CON-586060,05043634957885,box,LOC-STOCK-04,Trauma Emergency Cupboard, B769077 ,,06/10/2026, clear ,sterile, 69 , 4 ,GBP 6.98,08/07/2026 00:00,ScanTrack Theatre Inventory
LOT-CONS-GAUZE_SWABS_10X10-01,INV-CONS-GAUZE_SWABS_10X10,Gauze Swabs 10x10,consumable,CON-932716,05074443135182, each ,LOC-STOCK-04,Trauma Emergency Cupboard,B483162,,15/07/2026,clear,sterile,153,4,GBP 64.96,23/06/2026 00:00, Manual Theatre Stocktake 
LOT-CONS-GAUZE_SWABS_10X10-02,INV-CONS-GAUZE_SWABS_10X10, Gauze Swabs 10x10 ,consumable,CON-932716,05074443135182,each,LOC-STOCK-03,Day Surgery Store, B326222 ,,18/06/2026, clear , sterile ,11,0,GBP 87.66,26/06/2026 00:00,ERP Materials Management
LOT-CONS-GAUZE_SWABS_10X10-03,INV-CONS-GAUZE_SWABS_10X10,Gauze Swabs 10x10,consumable,CON-932716,05074443135182,each,LOC-STOCK-04,Trauma Emergency Cupboard,B544150,N/A,07/08/2026,clear,sterile,136,5,GBP 38.37,18/06/2026 00:00,ERP Materials Management
LOT-CONS-GAUZE_SWABS_5X5-01,INV-CONS-GAUZE_SWABS_5X5,Gauze Swabs 5x5, consumable , CON-559710 ,05074989413435,each,LOC-STOCK-05, Vendor Loan Kit Holding Bay ,B313068,N/A,07/08/2026,clear, sterile , 28 ,1,GBP 51.07,26/06/2026 00:00,ERP Materials Management
LOT-CONS-GAUZE_SWABS_5X5-02,INV-CONS-GAUZE_SWABS_5X5,Gauze Swabs 5x5,consumable,CON-559710,05074989413435, each ,LOC-STOCK-03,Day Surgery Store,B832614,N/A,08/07/2027, clear ,sterile,24, 3 ,GBP 69.41,01/07/2026 00:00,Manual Theatre Stocktake
LOT-CONS-IRRIGATION_FLUID_0_9_SALINE_1L-01,INV-CONS-IRRIGATION_FLUID_0_9_SALINE_1L,Irrigation Fluid 0.9% Saline 1L,consumable,CON-877364, 05082400842710 , bottle ,LOC-STOCK-04,Trauma Emergency Cupboard,B742039,N/A,18/06/2026,clear,sterile, 37 , 4 ,GBP 5.46,17/06/2026 00:00,ERP Materials Management
LOT-CONS-IRRIGATION_FLUID_0_9_SALINE_1L-02,INV-CONS-IRRIGATION_FLUID_0_9_SALINE_1L,Irrigation Fluid 0.9% Saline 1L,consumable,CON-877364,05082400842710,bottle,LOC-STOCK-01, Main Theatre Sterile Store ,B842287,N/A,08/07/2027,clear, sterile ,38,1,GBP 66.72,03/07/2026 00:00,ScanTrack Theatre Inventory
LOT-CONS-IRRIGATION_FLUID_0_9_SALINE_3L-01,INV-CONS-IRRIGATION_FLUID_0_9_SALINE_3L,Irrigation Fluid 0.9% Saline 3L,consumable,CON-319329,05077520471167,bottle,LOC-STOCK-02,Orthopaedic Implant Store, B489933 ,N/A,04/01/2027,clear,sterile, 74 ,1,GBP 71.29,30/06/2026 00:00,ERP Materials Management
LOT-CONS-IRRIGATION_FLUID_0_9_SALINE_3L-02,INV-CONS-IRRIGATION_FLUID_0_9_SALINE_3L,Irrigation Fluid 0.9% Saline 3L,consumable,CON-319329,05077520471167, bottle ,LOC-STOCK-03,Day Surgery Store,B946313,,18/06/2026,clear, sterile , 15 ,3,GBP 26.02,06/07/2026 00:00,ScanTrack Theatre Inventory
LOT-CONS-IRRIGATION_FLUID_0_9_SALINE_3L-03,INV-CONS-IRRIGATION_FLUID_0_9_SALINE_3L,Irrigation Fluid 0.9% Saline 3L,consumable,CON-319329,05077520471167,bottle,LOC-STOCK-04,Trauma Emergency Cupboard,B577309,N/A,08/07/2027, supplier_notice ,sterile,27,4,GBP 34.37,23/06/2026 00:00,ERP Materials Management
LOT-CONS-LIGHT_HANDLE_COVERS-01,INV-CONS-LIGHT_HANDLE_COVERS,Light Handle Covers,consumable, CON-468833 ,05090229413186,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B806866,,07/08/2026,clear,sterile,34,5,GBP 11.18,22/06/2026 00:00,Manual Theatre Stocktake
LOT-CONS-LIGHT_HANDLE_COVERS-02,INV-CONS-LIGHT_HANDLE_COVERS, Light Handle Covers ,consumable,CON-468833, 05090229413186 ,pack,LOC-STOCK-02,Orthopaedic Implant Store,B148215,,18/06/2026,clear, sterile ,11,3,GBP 34.74,04/07/2026 00:00,Manual Theatre Stocktake
LOT-CONS-LOCAL_ANAESTHETIC_SYRINGE-01,INV-CONS-LOCAL_ANAESTHETIC_SYRINGE, Local Anaesthetic Syringe ,consumable,CON-528142,05086774964990,pack,LOC-STOCK-02, Orthopaedic Implant Store ,B437433,,04/01/2027, clear ,sterile,115,1,GBP 39.69,28/06/2026 00:00,ScanTrack Theatre Inventory
LOT-CONS-PULSE_LAVAGE_TIP-01,INV-CONS-PULSE_LAVAGE_TIP,Pulse Lavage Tip,consumable, CON-461988 ,05033412328120,box,LOC-STOCK-01,Main Theatre Sterile Store,B288056,N/A,04/01/2027,clear, sterile ,136, 1 ,GBP 76.46,07/07/2026 00:00,ScanTrack Theatre Inventory
LOT-CONS-PUMP_TUBING-01,INV-CONS-PUMP_TUBING,Pump Tubing,consumable,CON-223035,05040344713493, box ,LOC-STOCK-03,Day Surgery Store,B190581,,06/10/2026,clear,sterile, 87 ,4,GBP 43.53,27/06/2026 00:00,Manual Theatre Stocktake
LOT-CONS-SAW_BLADE_CONMED_X_1_REF_5071_-01,INV-CONS-SAW_BLADE_CONMED_X_1_REF_5071_,Saw Blade (Conmed) x 1 Ref#5071-201,consumable,CON-709173,05083242102499, box ,LOC-STOCK-04,Trauma Emergency Cupboard,B486162,,04/01/2027,clear,sterile, 70 ,4,GBP 92.33,02/07/2026 00:00,ERP Materials Management
LOT-CONS-SAW_BLADE_CONMED_X_1_REF_5071_-02,INV-CONS-SAW_BLADE_CONMED_X_1_REF_5071_,Saw Blade (Conmed) x 1 Ref#5071-201,consumable,CON-709173,05083242102499, box ,LOC-STOCK-02,Orthopaedic Implant Store,B106687,,04/01/2027, clear ,sterile,70,3,GBP 2.52,21/06/2026 00:00,ScanTrack Theatre Inventory
LOT-CONS-SAW_BLADE_CONMED_X_1_REF_5071_-03,INV-CONS-SAW_BLADE_CONMED_X_1_REF_5071_,Saw Blade (Conmed) x 1 Ref#5071-201,consumable,CON-709173,05083242102499,box,LOC-STOCK-03,Day Surgery Store,B101533,,08/07/2027, clear ,sterile,10,5,GBP 35.90,29/06/2026 00:00,Manual Theatre Stocktake
LOT-CONS-SCALPEL_BLADE_10-01,INV-CONS-SCALPEL_BLADE_10,Scalpel Blade #10,consumable,CON-304525,05074648877190, box ,LOC-STOCK-04,Trauma Emergency Cupboard,B162804,,04/01/2027,quarantined,sterile,57,1,GBP 67.68,06/07/2026 00:00,Manual Theatre Stocktake
LOT-CONS-SCALPEL_BLADE_10-02,INV-CONS-SCALPEL_BLADE_10,Scalpel Blade #10,consumable,CON-304525,05074648877190,box,LOC-STOCK-04,Trauma Emergency Cupboard,B834891,N/A,15/07/2026, clear ,sterile, 141 ,2,GBP 43.69,06/07/2026 00:00,ERP Materials Management
LOT-CONS-SCALPEL_BLADE_15-01,INV-CONS-SCALPEL_BLADE_15, Scalpel Blade #15 ,consumable,CON-444987,05001399049027,pack,LOC-STOCK-01,Main Theatre Sterile Store,B720647,,04/01/2027,clear, sterile ,108,4,GBP 6.15,17/06/2026 00:00,Manual Theatre Stocktake
LOT-CONS-SHARPS_PAD-01,INV-CONS-SHARPS_PAD,Sharps Pad,consumable,CON-294289, 05029671756551 ,each,LOC-STOCK-04,Trauma Emergency Cupboard, B834764 ,,07/08/2026,clear,sterile,88,5,GBP 31.16,24/06/2026 00:00, ScanTrack Theatre Inventory 
LOT-CONS-SHARPS_PAD-02,INV-CONS-SHARPS_PAD,Sharps Pad,consumable,CON-294289,05029671756551,each,LOC-STOCK-02,Orthopaedic Implant Store,B917823,,15/07/2026,clear,sterile, 59 ,4,GBP 10.58,05/07/2026 00:00,Manual Theatre Stocktake
LOT-CONS-SKIN_MARKER_PEN-01,INV-CONS-SKIN_MARKER_PEN,Skin Marker Pen,consumable,CON-489282,05074680715451,box,LOC-STOCK-05, Vendor Loan Kit Holding Bay ,B475691,,06/10/2026,clear,sterile,38, 1 ,GBP 43.07,24/06/2026 00:00,ScanTrack Theatre Inventory
LOT-CONS-SKIN_MARKER_PEN-02,INV-CONS-SKIN_MARKER_PEN,Skin Marker Pen,consumable,CON-489282,05074680715451,box,LOC-STOCK-03,Day Surgery Store, B966529 ,,27/06/2028,clear,sterile, 48 , 5 ,GBP 66.28,07/07/2026 00:00,Manual Theatre Stocktake
LOT-CONS-SKIN_MARKER_PEN-03,INV-CONS-SKIN_MARKER_PEN,Skin Marker Pen,consumable, CON-489282 ,05074680715451,box,LOC-STOCK-01,Main Theatre Sterile Store,B845702,,27/06/2028,clear, sterile ,45, 1 ,GBP 92.01,26/06/2026 00:00,ERP Materials Management
LOT-CONS-SKIN_MARKER_PEN-04,INV-CONS-SKIN_MARKER_PEN,Skin Marker Pen,consumable,CON-489282, 05074680715451 ,box,LOC-STOCK-02,Orthopaedic Implant Store, B132591 ,,18/06/2026,clear,sterile,74,3,GBP 81.22,21/06/2026 00:00, ERP Materials Management 
LOT-CONS-STERILE_GLOVES-01,INV-CONS-STERILE_GLOVES,Sterile Gloves,consumable,CON-770641,05087603859770,pair,LOC-STOCK-01,Main Theatre Sterile Store,B112537,,18/06/2026,clear,sterile,43,0,GBP 78.93,01/07/2026 00:00, Manual Theatre Stocktake 
LOT-CONS-STERILE_GLOVES-02,INV-CONS-STERILE_GLOVES,Sterile Gloves,consumable,CON-770641,05087603859770,pair,LOC-STOCK-01,Main Theatre Sterile Store,B710610,N/A,15/07/2026,clear,sterile, 103 , 4 ,GBP 24.77,06/07/2026 00:00, Manual Theatre Stocktake 
LOT-CONS-STERILE_GLOVES_PAIR-01,INV-CONS-STERILE_GLOVES_PAIR,Sterile Gloves (Pair),consumable,CON-272669,05048247710932, pair ,LOC-STOCK-02,Orthopaedic Implant Store,B196446,N/A,15/07/2026, clear ,sterile,121, 2 ,GBP 11.86,24/06/2026 00:00,Manual Theatre Stocktake
LOT-CONS-STERILE_GOWN-01,INV-CONS-STERILE_GOWN, Sterile Gown , consumable ,CON-565597,05086131712748,pack,LOC-STOCK-04,Trauma Emergency Cupboard,B130914,N/A,04/01/2027,clear, sterile , 109 ,3,GBP 64.98,03/07/2026 00:00,ScanTrack Theatre Inventory
LOT-CONS-STERILE_GOWN-02,INV-CONS-STERILE_GOWN,Sterile Gown, consumable , CON-565597 ,05086131712748,pack,LOC-STOCK-03,Day Surgery Store, B567676 ,N/A,15/07/2026,clear,sterile,78, 1 ,GBP 3.53,19/06/2026 00:00,ERP Materials Management
LOT-CONS-SUCTION_TUBING-01,INV-CONS-SUCTION_TUBING,Suction Tubing,consumable,CON-237071, 05077378263982 ,each,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B602300,,08/07/2027,clear, sterile , 113 ,0,GBP 8.56,26/06/2026 00:00,Manual Theatre Stocktake
LOT-CONS-SUCTION_TUBING-02,INV-CONS-SUCTION_TUBING, Suction Tubing ,consumable, CON-237071 , 05077378263982 ,each,LOC-STOCK-02,Orthopaedic Implant Store, B761393 ,,06/10/2026, clear ,sterile,142,4,GBP 75.56,26/06/2026 00:00,ERP Materials Management
LOT-CONS-SUCTION_YANKAUER_TIP-01,INV-CONS-SUCTION_YANKAUER_TIP, Suction Yankauer Tip , consumable ,CON-857627,05058404499727, pack ,LOC-STOCK-03,Day Surgery Store,B693128,N/A,06/10/2026,clear,sterile,132,4,GBP 30.72,30/06/2026 00:00,Manual Theatre Stocktake
LOT-CONS-SUCTION_YANKAUER_TIP-02,INV-CONS-SUCTION_YANKAUER_TIP, Suction Yankauer Tip ,consumable,CON-857627, 05058404499727 ,pack,LOC-STOCK-01,Main Theatre Sterile Store, B950069 ,N/A,18/06/2026,clear,sterile, 64 ,2,GBP 5.80,23/06/2026 00:00, ERP Materials Management 
LOT-CONS-SUCTION_YANKAUER_TIP-03,INV-CONS-SUCTION_YANKAUER_TIP,Suction Yankauer Tip,consumable,CON-857627,05058404499727, pack ,LOC-STOCK-02,Orthopaedic Implant Store, B204998 ,,07/08/2026, clear ,sterile, 67 , 1 ,GBP 62.49,30/06/2026 00:00,ERP Materials Management
LOT-CONS-SURGICAL_PATTIES-01,INV-CONS-SURGICAL_PATTIES, Surgical Patties ,consumable,CON-918808,05058867533963,box,LOC-STOCK-05, Vendor Loan Kit Holding Bay , B987624 ,,27/06/2028, quarantined ,sterile, 32 ,3,GBP 33.87,03/07/2026 00:00,Manual Theatre Stocktake
LOT-CONS-SUTURE_REMOVAL_KIT-01,INV-CONS-SUTURE_REMOVAL_KIT,Suture Removal Kit,consumable,CON-543217,05057662702895,each,LOC-STOCK-05,Vendor Loan Kit Holding Bay, B129576 ,,04/01/2027, clear ,sterile,99,5,GBP 66.63,20/06/2026 00:00,ERP Materials Management
LOT-CONS-SUTURE_REMOVAL_KIT-02,INV-CONS-SUTURE_REMOVAL_KIT,Suture Removal Kit,consumable,CON-543217,05057662702895,each,LOC-STOCK-04,Trauma Emergency Cupboard,B668458,N/A,15/07/2026,clear,sterile,56, 2 ,GBP 16.88,07/07/2026 00:00, Manual Theatre Stocktake 
LOT-CONS-SYRINGE_10ML-01,INV-CONS-SYRINGE_10ML,Syringe 10ml,consumable,CON-649955, 05087026217459 ,pack,LOC-STOCK-05,Vendor Loan Kit Holding Bay,B601207,N/A,15/07/2026,clear,sterile,13,0,GBP 31.68,19/06/2026 00:00, Manual Theatre Stocktake 
LOT-CONS-SYRINGE_20ML-01,INV-CONS-SYRINGE_20ML,Syringe 20ml, consumable ,CON-676309,05058657809134,each,LOC-STOCK-01,Main Theatre Sterile Store,B122977,,07/08/2026,clear,sterile,90,1,GBP 55.83,04/07/2026 00:00,Manual Theatre Stocktake
LOT-CONS-SYRINGE_20ML-02,INV-CONS-SYRINGE_20ML,Syringe 20ml, consumable ,CON-676309, 05058657809134 ,each,LOC-STOCK-01,Main Theatre Sterile Store,B491738,,27/06/2028,clear,sterile,101,5,GBP 89.50,26/06/2026 00:00,ERP Materials Management
LOT-CONS-SYRINGE_50ML-01,INV-CONS-SYRINGE_50ML,Syringe 50ml,consumable,CON-260264,05061172400504,box,LOC-STOCK-02,Orthopaedic Implant Store, B867926 ,,07/08/2026,clear,sterile,42, 3 ,GBP 75.28,23/06/2026 00:00,ERP Materials Management
LOT-CONS-ULTRASOUND_GEL-01,INV-CONS-ULTRASOUND_GEL, Ultrasound Gel ,consumable,CON-777492,05023869222196,pack,LOC-STOCK-05, Vendor Loan Kit Holding Bay ,B925220,N/A,15/07/2026,clear,sterile, 151 ,2,GBP 21.40,20/06/2026 00:00,Manual Theatre Stocktake
LOT-CONS-ULTRASOUND_GEL-02,INV-CONS-ULTRASOUND_GEL, Ultrasound Gel ,consumable,CON-777492,05023869222196,pack,LOC-STOCK-02,Orthopaedic Implant Store,B286340,N/A,06/10/2026, clear ,sterile,83,5,GBP 0.42,20/06/2026 00:00, ScanTrack Theatre Inventory 
LOT-CONS-ULTRASOUND_GEL-03,INV-CONS-ULTRASOUND_GEL,Ultrasound Gel,consumable,CON-777492,05023869222196, pack ,LOC-STOCK-01,Main Theatre Sterile Store, B290926 ,N/A,27/06/2028,quarantined, sterile ,76,4,GBP 30.40,19/06/2026 00:00,Manual Theatre Stocktake
LOT-DISP-ARTHROSCOPY_SHAVER_BLADE_4_0MM-01,INV-DISP-ARTHROSCOPY_SHAVER_BLADE_4_0MM, Arthroscopy Shaver Blade 4.0mm ,disposable,DIS-482848,05079237474074,pack,LOC-STOCK-02, Orthopaedic Implant Store ,B463656,,06/10/2026,clear,sterile,27, 2 ,GBP 53.67,06/07/2026 00:00,ERP Materials Management
LOT-DISP-ARTHROSCOPY_SHAVER_BLADE_5_5MM-01,INV-DISP-ARTHROSCOPY_SHAVER_BLADE_5_5MM, Arthroscopy Shaver Blade 5.5mm , disposable ,DIS-769275,05017594647436,box,LOC-STOCK-02, Orthopaedic Implant Store ,B826847,N/A,06/10/2026,clear,sterile,61, 0 ,GBP 103.33,05/07/2026 00:00,ERP Materials Management
LOT-DISP-ARTHROSCOPY_SHAVER_BLADE_5_5MM-02,INV-DISP-ARTHROSCOPY_SHAVER_BLADE_5_5MM,Arthroscopy Shaver Blade 5.5mm,disposable,DIS-769275,05017594647436,box,LOC-STOCK-04,Trauma Emergency Cupboard,B274418,N/A,18/06/2026, clear ,sterile, 120 ,3,GBP 142.12,26/06/2026 00:00,ScanTrack Theatre Inventory
LOT-DISP-ARTHROSCOPY_SHAVER_BLADE_5_5MM-03,INV-DISP-ARTHROSCOPY_SHAVER_BLADE_5_5MM,Arthroscopy Shaver Blade 5.5mm,disposable, DIS-769275 ,05017594647436,box,LOC-STOCK-05,Vendor Loan Kit Holding Bay, B782591 ,N/A,04/01/2027,clear,sterile,130,5,GBP 69.36,24/06/2026 00:00, Manual Theatre Stocktake 
LOT-DISP-CEMENT_DELIVERY_GUN_NOZZLE-01,INV-DISP-CEMENT_DELIVERY_GUN_NOZZLE,Cement Delivery Gun Nozzle,disposable,DIS-643995,05036959440640,pack,LOC-STOCK-01,Main Theatre Sterile Store,B177804,N/A,07/08/2026,clear,sterile,74,2,GBP 54.27,26/06/2026 00:00,Manual Theatre Stocktake
LOT-DISP-CEMENT_MIXING_CARTRIDGE-01,INV-DISP-CEMENT_MIXING_CARTRIDGE,Cement Mixing Cartridge,disposable, DIS-335163 ,05097439533942,pack,LOC-STOCK-03,Day Surgery Store,B722886,N/A,04/01/2027,supplier_notice,sterile,31,4,GBP 250.96,08/07/2026 00:00,ScanTrack Theatre Inventory
LOT-DISP-DISPOSABLE_BURR_3_5MM-01,INV-DISP-DISPOSABLE_BURR_3_5MM,Disposable Burr 3.5mm,disposable,DIS-886087, 05004709521456 , each ,LOC-STOCK-01,Main Theatre Sterile Store, B206176 ,,04/01/2027,clear, sterile ,48,2,GBP 63.91,02/07/2026 00:00,ScanTrack Theatre Inventory
LOT-DISP-DISPOSABLE_BURR_3_5MM-02,INV-DISP-DISPOSABLE_BURR_3_5MM,Disposable Burr 3.5mm, disposable ,DIS-886087,05004709521456,each,LOC-STOCK-03,Day Surgery Store, B792687 ,,08/07/2027,clear,sterile,146,2,GBP 88.89,05/07/2026 00:00,Manual Theatre Stocktake
LOT-DISP-DISPOSABLE_BURR_4_0MM-01,INV-DISP-DISPOSABLE_BURR_4_0MM,Disposable Burr 4.0mm,disposable,DIS-159881,05028588424745,each,LOC-STOCK-02,Orthopaedic Implant Store, B157152 ,,04/01/2027,clear,sterile,133,2,GBP 9.04,06/07/2026 00:00,ScanTrack Theatre Inventory
LOT-DISP-DISPOSABLE_BURR_4_0MM-02,INV-DISP-DISPOSABLE_BURR_4_0MM, Disposable Burr 4.0mm ,disposable,DIS-159881,05028588424745,each,LOC-STOCK-02,Orthopaedic Implant Store, B201698 ,,27/06/2028,clear, sterile ,130,0,GBP 64.29,18/06/2026 00:00,ScanTrack Theatre Inventory
LOT-DISP-DISPOSABLE_BURR_4_0MM-03,INV-DISP-DISPOSABLE_BURR_4_0MM,Disposable Burr 4.0mm, disposable ,DIS-159881, 05028588424745 ,each,LOC-STOCK-03,Day Surgery Store, B923002 ,,18/06/2026,clear,sterile,37, 3 ,GBP 136.10,17/06/2026 00:00,ScanTrack Theatre Inventory
LOT-DISP-DISPOSABLE_BURR_4_0MM-04,INV-DISP-DISPOSABLE_BURR_4_0MM,Disposable Burr 4.0mm,disposable,DIS-159881,05028588424745, each ,LOC-STOCK-02,Orthopaedic Implant Store,B489043,N/A,18/06/2026,clear,sterile,107,3,GBP 108.48,24/06/2026 00:00,Manual Theatre Stocktake
LOT-DISP-DISPOSABLE_CANNULA_SET-01,INV-DISP-DISPOSABLE_CANNULA_SET,Disposable Cannula Set,disposable,DIS-699199,05012368516048,each,LOC-STOCK-03,Day Surgery Store,B691655,,06/10/2026,clear,sterile, 65 ,0,GBP 49.11,17/06/2026 00:00, Manual Theatre Stocktake 
LOT-DISP-DISPOSABLE_CANNULA_SET-02,INV-DISP-DISPOSABLE_CANNULA_SET,Disposable Cannula Set, disposable ,DIS-699199,05012368516048,each,LOC-STOCK-04,Trauma Emergency Cupboard,B893202,,18/06/2026,clear, sterile ,146,4,GBP 69.88,07/07/2026 00:00,ScanTrack Theatre Inventory
