Hospital,Stock area,Shelf/bin,Item description,Catalogue no,Batch/lot,Expiry,Qty counted,Unit,Checked by,Checked at,Notes
Local NHS Trust,Vendor Loan Kit Holding Bay,B1,Disposable Reamer – Small, DIS-846967 , B516224 ,2026-08-07,127, bx ,Theatre Stores Coordinator,2026-07-06T07:00:00+00:00,
Northbank Orthopaedic Centre,Trauma Emergency Cupboard,Implant Cabinet,Opsite Flexifix, DRE-794110 , B516379 ,2026-08-07, 62 ,pk,Team Leader, 2026-07-05T16:00:00+00:00 ,Top-up requested
Riverside Elective Surgical Hub,Trauma Emergency Cupboard,B1,Disposable Saw Blade – Oscillating,DIS-188030,B364239,2026-10-06,97,pk,Deputy Team Leader,2026-07-07T02:00:00+00:00, Top-up requested 
Local NHS Trust,Day Surgery Store,C2, Tubigrip Size B ,DRE-731072,B277477,2026-08-07,10, ea ,Deputy Team Leader, 2026-07-07T17:00:00+00:00 ,Counted during morning theatre check
Local NHS Trust,Main Theatre Sterile Store,A2,Aquacel Ag,DRE-388006,B360804,2027-07-08,52,each,Theatre Stores Coordinator,2026-07-05T11:00:00+00:00,Top-up requested
Northbank Orthopaedic Centre,Vendor Loan Kit Holding Bay,A1,Distal Fibula Plate Set,IMP-767536,B503348,2027-07-08,9,ea,Deputy Team Leader, 2026-07-07T18:00:00+00:00 ,Packaging damaged - review
Northbank Orthopaedic Centre, Vendor Loan Kit Holding Bay ,B4,Nylon 3-0,SUT-566420, B473321 ,2026-07-15,37,bx, Theatre Stores Coordinator ,2026-07-07T05:00:00+00:00,N/A
Local NHS Trust,Trauma Emergency Cupboard,Top-up Trolley,Optape x 1 (uses 2 around the glove on the ankle),DRA-454767,B429445,2026-08-07,16,pack,Team Leader,2026-07-07T00:00:00+00:00,Counted during morning theatre check
Riverside Elective Surgical Hub, Vendor Loan Kit Holding Bay ,Implant Cabinet,Distal Fibula Plate Set, IMP-767536 ,B763311,2028-06-27,11, ea ,Stock and Procurement Manager,2026-07-07T23:00:00+00:00, Implant coordinator to confirm sizes 
 Northbank Orthopaedic Centre ,Trauma Emergency Cupboard,A1,SutureTape 1.3mm,SUT-166801,B649435,2026-10-06, 9 ,box,Stock and Procurement Manager,2026-07-05T08:00:00+00:00,N/A
 Northbank Orthopaedic Centre ,Day Surgery Store,Implant Cabinet,Steri-Strips 12mm,DRE-718184,B649855,2028-06-27,12,each,Theatre Stores Coordinator,2026-07-05T21:00:00+00:00,Top-up requested
Northbank Orthopaedic Centre,Day Surgery Store,A2,Aquacel Ag,DRE-388006,B859587,2026-07-15,54,each,Theatre Stores Coordinator,2026-07-07T13:00:00+00:00, Packaging damaged - review 
Northbank Orthopaedic Centre,Orthopaedic Implant Store,Implant Cabinet,Steri-Strips 12mm,DRE-718184,B152973,2026-08-07, 35 ,ea,Team Leader,2026-07-07T23:00:00+00:00,Top-up requested
Northbank Orthopaedic Centre,Vendor Loan Kit Holding Bay,Implant Cabinet,Gauze Swabs 5x5,CON-559710,B313068, 2026-08-07 ,26,ea,Stock and Procurement Manager,2026-07-06T20:00:00+00:00,
Northbank Orthopaedic Centre,Vendor Loan Kit Holding Bay,Top-up Trolley,Femoral Component, IMP-768112 ,B668843,2027-07-08,6,ea,Theatre Stores Coordinator,2026-07-07T14:00:00+00:00,Implant coordinator to confirm sizes
Local NHS Trust,Trauma Emergency Cupboard,B4,Hand and Foot Aperture Drape Pack,DRA-710083, B414313 ,2026-06-18, 21 ,pk, Team Leader ,2026-07-07T01:00:00+00:00, Counted during morning theatre check 
 Local NHS Trust ,Vendor Loan Kit Holding Bay,Top-up Trolley,Arthroscopy Fluid 3L,CON-266520, B635618 ,2027-01-04,134, bottle ,Stock and Procurement Manager,2026-07-07T03:00:00+00:00,Packaging damaged - review
 Riverside Elective Surgical Hub ,Main Theatre Sterile Store,Top-up Trolley,Synthes Large Fragment Set,INS-636208,B176319, N/A , 10 ,tray, Stock and Procurement Manager ,2026-07-07T08:00:00+00:00,Top-up requested
Riverside Elective Surgical Hub,Day Surgery Store,Top-up Trolley,Tibial Baseplate,IMP-835265,B506945,2026-06-18,16,ea,Team Leader,2026-07-07T07:00:00+00:00,Top-up requested
 Northbank Orthopaedic Centre ,Vendor Loan Kit Holding Bay,C2,Vicryl 1,SUT-255326,B574760,2026-08-07,65,box, Stock and Procurement Manager ,2026-07-05T09:00:00+00:00,Packaging damaged - review
Northbank Orthopaedic Centre,Vendor Loan Kit Holding Bay,C2,Jelonet,DRE-508811,B772925,2026-10-06,10,pk, Deputy Team Leader ,2026-07-07T12:00:00+00:00,Packaging damaged - review
Northbank Orthopaedic Centre,Trauma Emergency Cupboard,Implant Cabinet,Monocryl 3-0,SUT-491334,B714549,2028-06-27, 56 ,box,Deputy Team Leader,2026-07-07T12:00:00+00:00,N/A
 Northbank Orthopaedic Centre ,Main Theatre Sterile Store, Implant Cabinet ,Disposable Saw Blade – Oscillating,DIS-188030,B107704,2028-06-27,157,pk,Stock and Procurement Manager,2026-07-07T04:00:00+00:00,Packaging damaged - review
Northbank Orthopaedic Centre,Main Theatre Sterile Store, B4 ,Approach Drape,DRA-851239,B457137, 2026-06-18 ,18,pack,Deputy Team Leader, 2026-07-07T13:00:00+00:00 ,Packaging damaged - review
Local NHS Trust,Trauma Emergency Cupboard,Implant Cabinet,Sterile Gown, CON-565597 , B130914 ,2027-01-04,109,pack, Team Leader ,2026-07-06T16:00:00+00:00,Implant coordinator to confirm sizes
Riverside Elective Surgical Hub, Day Surgery Store ,A1,Approach Drape,DRA-851239,B921609,2028-06-27, 44 ,pk,Theatre Stores Coordinator,2026-07-07T18:00:00+00:00, Implant coordinator to confirm sizes 
Northbank Orthopaedic Centre,Day Surgery Store,A1,Compression Screws, IMP-830775 ,B213000,2026-10-06,4,ea, Deputy Team Leader ,2026-07-06T15:00:00+00:00,Top-up requested
Riverside Elective Surgical Hub, Day Surgery Store , A1 ,Plastic U drape,DRA-698030,B353777,2027-07-08,44, pack ,Theatre Stores Coordinator,2026-07-05T12:00:00+00:00,Counted during morning theatre check
Local NHS Trust,Orthopaedic Implant Store,A1, Suction Yankauer Tip ,CON-857627,B204998,2026-08-07, 66 ,pk,Deputy Team Leader,2026-07-06T09:00:00+00:00,Top-up requested
Riverside Elective Surgical Hub,Main Theatre Sterile Store,B4,Disposable Drill Bit 2.5mm,DIS-235744,B543940,2026-07-15,40, ea ,Team Leader,2026-07-06T04:00:00+00:00,Counted during morning theatre check
Local NHS Trust,Trauma Emergency Cupboard,Implant Cabinet,Conmed PowerTools with Trinkle, INS-540250 ,B238353,N/A,0,tray,Team Leader,2026-07-07T10:00:00+00:00,Packaging damaged - review
Local NHS Trust,Day Surgery Store,B4, Arthroscopy Fluid 3L ,CON-266520,B133796,2026-06-18,71, bottle ,Theatre Stores Coordinator,2026-07-07T22:00:00+00:00, Counted during morning theatre check 
Northbank Orthopaedic Centre,Main Theatre Sterile Store,Implant Cabinet,Steri-Strips 12mm, DRE-718184 , B332873 ,2028-06-27,71,ea, Deputy Team Leader ,2026-07-05T09:00:00+00:00, Top-up requested 
Riverside Elective Surgical Hub,Day Surgery Store,Implant Cabinet,Disposable Saw Blade - Oscillating,DIS-289494,B128783,2028-06-27,31, bx ,Deputy Team Leader,2026-07-06T09:00:00+00:00,
 Local NHS Trust ,Trauma Emergency Cupboard,A2, Monocryl 5-0 ,SUT-365867,B470248,2027-07-08,45,box,Theatre Stores Coordinator,2026-07-07T21:00:00+00:00,Counted during morning theatre check
Northbank Orthopaedic Centre,Orthopaedic Implant Store,Implant Cabinet,Suction Machine,EQU-214109,B321686,N/A,0,device, Stock and Procurement Manager , 2026-07-06T17:00:00+00:00 ,Packaging damaged - review
Local NHS Trust,Day Surgery Store, B1 , Skin Marker Pen ,CON-489282, B966529 ,2028-06-27,49,box,Deputy Team Leader, 2026-07-07T05:00:00+00:00 ,Packaging damaged - review
Local NHS Trust,Trauma Emergency Cupboard,A2,Chlorhexidine 2% Applicator,CON-165563,B181724,2027-07-08, 62 ,pack,Stock and Procurement Manager,2026-07-05T15:00:00+00:00,Packaging damaged - review
Northbank Orthopaedic Centre,Trauma Emergency Cupboard,C2,Ethibond Excel #5,SUT-924162,B605065,2026-06-18,83,box,Stock and Procurement Manager,2026-07-06T22:00:00+00:00,Top-up requested
Local NHS Trust,Main Theatre Sterile Store,B1,Crepe Bandage,DRE-531687,B975763,2026-06-18,14,ea,Theatre Stores Coordinator,2026-07-07T10:00:00+00:00, Packaging damaged - review 
 Riverside Elective Surgical Hub , Orthopaedic Implant Store ,C2,K-wire 1.6mm,DIS-731650, B459315 , 2028-06-27 ,43,ea,Team Leader, 2026-07-07T19:00:00+00:00 ,Packaging damaged - review
Riverside Elective Surgical Hub,Vendor Loan Kit Holding Bay,C2,Disposable Drill Bit 3.2mm,DIS-170918, B738543 ,2026-10-06,132, bx ,Deputy Team Leader, 2026-07-06T18:00:00+00:00 ,
Northbank Orthopaedic Centre,Day Surgery Store,C2,CPCS Stem, IMP-626119 , B850689 ,2028-06-27,15, each , Team Leader , 2026-07-05T01:00:00+00:00 ,
 Northbank Orthopaedic Centre , Main Theatre Sterile Store ,A1, Arthroscopy Fluid 3L ,CON-266520, B896922 ,2028-06-27,73,btl,Deputy Team Leader,2026-07-06T03:00:00+00:00,Packaging damaged - review
Local NHS Trust,Vendor Loan Kit Holding Bay,A2,Humeral Tray,IMP-241240,B941814,2027-01-04, 12 ,ea,Team Leader,2026-07-06T23:00:00+00:00,Packaging damaged - review
 Local NHS Trust ,Vendor Loan Kit Holding Bay, C2 ,Ethibond Excel #5,SUT-924162,B791691,2026-07-15, 29 ,bx, Stock and Procurement Manager ,2026-07-06T04:00:00+00:00,Implant coordinator to confirm sizes
 Local NHS Trust ,Trauma Emergency Cupboard, B1 ,Vicryl 0,SUT-338007,B362035,2026-10-06, 62 , bx ,Deputy Team Leader,2026-07-05T18:00:00+00:00,Top-up requested
Riverside Elective Surgical Hub, Vendor Loan Kit Holding Bay ,A2, Shoulder Arthroscopy Drape Pack ,DRA-941107,B606384, 2026-08-07 ,17,pack, Team Leader , 2026-07-07T12:00:00+00:00 ,Packaging damaged - review
Local NHS Trust,Main Theatre Sterile Store, A2 ,Melolin,DRE-910266,B113721,2026-06-18, 82 ,box,Deputy Team Leader,2026-07-07T11:00:00+00:00,Packaging damaged - review
Local NHS Trust,Trauma Emergency Cupboard, A2 ,Surgical Patties, DIS-213773 ,B938754,2026-10-06,106,ea,Theatre Stores Coordinator,2026-07-07T21:00:00+00:00,Top-up requested
Riverside Elective Surgical Hub,Main Theatre Sterile Store, A2 , Bone Cement Mixing Bowl Kit ,CON-546755,B230272,2026-06-18, 125 ,pk,Stock and Procurement Manager, 2026-07-05T07:00:00+00:00 ,
Northbank Orthopaedic Centre,Day Surgery Store, A1 ,Irrigation Fluid 0.9% Saline 3L,CON-319329, B946313 ,2026-06-18, 13 ,btl,Stock and Procurement Manager,2026-07-07T08:00:00+00:00,Implant coordinator to confirm sizes
Northbank Orthopaedic Centre, Main Theatre Sterile Store ,B1,Cement Delivery Gun Nozzle, DIS-643995 ,B177804,2026-08-07, 73 ,pk,Team Leader,2026-07-07T18:00:00+00:00,Implant coordinator to confirm sizes
Riverside Elective Surgical Hub,Main Theatre Sterile Store,Top-up Trolley,Steri-Strips 6mm,DRE-546584,B674779,2026-08-07, 79 ,each, Theatre Stores Coordinator ,2026-07-07T17:00:00+00:00,Packaging damaged - review
Local NHS Trust,Vendor Loan Kit Holding Bay,Top-up Trolley,Melolin,DRE-910266,B879592, 2028-06-27 ,52,box,Theatre Stores Coordinator,2026-07-05T00:00:00+00:00,
Local NHS Trust,Orthopaedic Implant Store,Implant Cabinet,Adaptic,DRE-897387,B595793,2027-07-08,72,each,Theatre Stores Coordinator,2026-07-06T21:00:00+00:00,Top-up requested
Riverside Elective Surgical Hub, Trauma Emergency Cupboard ,B4,Bladder Syringe, CON-450442 ,B964915,2028-06-27,62,pk,Deputy Team Leader,2026-07-07T11:00:00+00:00, Counted during morning theatre check 
Northbank Orthopaedic Centre,Main Theatre Sterile Store,Top-up Trolley,Sterile Gloves,CON-770641, B112537 ,2026-06-18, 44 ,pr,Stock and Procurement Manager, 2026-07-07T08:00:00+00:00 ,Counted during morning theatre check
Local NHS Trust,Trauma Emergency Cupboard,A2,Nylon 3-0,SUT-566420,B872918, 2027-01-04 ,30,bx, Deputy Team Leader ,2026-07-06T04:00:00+00:00, Top-up requested 
Local NHS Trust,Orthopaedic Implant Store, B1 ,Crepe Bandage,DRE-531687, B742818 ,2027-01-04,76, each ,Team Leader,2026-07-05T18:00:00+00:00,Top-up requested
